Neighborhood,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
Bayside - Little Neck,2021,2,169,24.264705882352942
Bayside - Little Neck,2021,3,161,-4.733727810650888
Bayside - Little Neck,2022,0,107,-33.54037267080746
Bayside - Little Neck,2022,1,129,20.5607476635514
Bayside - Little Neck,2022,2,138,6.976744186046512
Bayside - Little Neck,2022,3,149,7.971014492753622
Bayside - Little Neck,2023,0,196,31.543624161073826
Bayside - Little Neck,2023,1,179,-8.673469387755102
Bedford Stuyvesant - Crown Heights,2006,0,6115,
Bedford Stuyvesant - Crown Heights,2006,1,5958,-2.567457072771872
Bedford Stuyvesant - Crown Heights,2006,2,5736,-3.726082578046324
Bedford Stuyvesant - Crown Heights,2006,3,5385,-6.119246861924686
Bedford Stuyvesant - Crown Heights,2007,0,6522,21.114206128133706
Bedford Stuyvesant - Crown Heights,2007,1,6695,2.652560564244097
Bedford Stuyvesant - Crown Heights,2007,2,7070,5.6011949215832715
Bedford Stuyvesant - Crown Heights,2007,3,5970,-15.558698727015557
Bedford Stuyvesant - Crown Heights,2008,0,6745,12.981574539363482
Bedford Stuyvesant - Crown Heights,2008,1,5881,-12.809488510007414
Bedford Stuyvesant - Crown Heights,2008,2,6142,4.438020744771298
Bedford Stuyvesant - Crown Heights,2008,3,6349,3.3702377075871053
Bedford Stuyvesant - Crown Heights,2009,0,7320,15.293747046779021
Bedford Stuyvesant - Crown Heights,2009,1,7262,-0.7923497267759563
Bedford Stuyvesant - Crown Heights,2009,2,7138,-1.7075185899201322
Bedford Stuyvesant - Crown Heights,2009,3,6603,-7.495096665732698
Bedford Stuyvesant - Crown Heights,2010,0,7314,10.76783280327124
Bedford Stuyvesant - Crown Heights,2010,1,7740,5.824446267432322
Bedford Stuyvesant - Crown Heights,2010,2,7209,-6.86046511627907
Bedford Stuyvesant - Crown Heights,2010,3,6739,-6.519628242474685
Bedford Stuyvesant - Crown Heights,2011,0,7260,7.731117376465351
Bedford Stuyvesant - Crown Heights,2011,1,8012,10.358126721763085
Bedford Stuyvesant - Crown Heights,2011,2,7855,-1.9595606590114827
Bedford Stuyvesant - Crown Heights,2011,3,7023,-10.591979630808403
Bedford Stuyvesant - Crown Heights,2012,0,7901,12.501779866154065
Bedford Stuyvesant - Crown Heights,2012,1,7169,-9.264650044298191
Bedford Stuyvesant - Crown Heights,2012,2,7301,1.8412609847956478
Bedford Stuyvesant - Crown Heights,2012,3,5611,-23.147514039172716
Bedford Stuyvesant - Crown Heights,2013,0,6804,21.261807164498308
Bedford Stuyvesant - Crown Heights,2013,1,6779,-0.36743092298647856
Bedford Stuyvesant - Crown Heights,2013,2,6631,-2.1832128632541674
Bedford Stuyvesant - Crown Heights,2013,3,5875,-11.40099532498869
Bedford Stuyvesant - Crown Heights,2014,0,6353,8.136170212765958
Bedford Stuyvesant - Crown Heights,2014,1,6881,8.311034157091138
Bedford Stuyvesant - Crown Heights,2014,2,6635,-3.5750617642784475
Bedford Stuyvesant - Crown Heights,2014,3,4835,-27.128862094951018
Bedford Stuyvesant - Crown Heights,2015,0,5022,3.8676318510858323
Bedford Stuyvesant - Crown Heights,2015,1,5227,4.082039028275587
Bedford Stuyvesant - Crown Heights,2015,2,5411,3.520183661756265
Bedford Stuyvesant - Crown Heights,2015,3,4579,-15.376085751247459
Bedford Stuyvesant - Crown Heights,2016,0,4802,4.870058964839485
Bedford Stuyvesant - Crown Heights,2016,1,4661,-2.9362765514369014
Bedford Stuyvesant - Crown Heights,2016,2,4621,-0.8581849388543231
Bedford Stuyvesant - Crown Heights,2016,3,4332,-6.254057563297987
Bedford Stuyvesant - Crown Heights,2017,0,4039,-6.763619575253925
Bedford Stuyvesant - Crown Heights,2017,1,4035,-0.09903441445902451
Bedford Stuyvesant - Crown Heights,2017,2,3901,-3.32094175960347
Bedford Stuyvesant - Crown Heights,2017,3,3787,-2.922327608305563
Bedford Stuyvesant - Crown Heights,2018,0,3881,2.482175864800634
Bedford Stuyvesant - Crown Heights,2018,1,3641,-6.183973202782788
Bedford Stuyvesant - Crown Heights,2018,2,3279,-9.9423235374897
Bedford Stuyvesant - Crown Heights,2018,3,3173,-3.2326928941750537
Bedford Stuyvesant - Crown Heights,2019,0,3131,-1.3236684525685471
Bedford Stuyvesant - Crown Heights,2019,1,2941,-6.068348770360907
Bedford Stuyvesant - Crown Heights,2019,2,2768,-5.88235294117647
Bedford Stuyvesant - Crown Heights,2019,3,2426,-12.355491329479769
Bedford Stuyvesant - Crown Heights,2020,0,2588,6.677658697444352
Bedford Stuyvesant - Crown Heights,2020,1,1622,-37.326120556414224
Bedford Stuyvesant - Crown Heights,2020,2,1573,-3.020961775585697
Bedford Stuyvesant - Crown Heights,2020,3,2353,49.586776859504134
Bedford Stuyvesant - Crown Heights,2021,0,1916,-18.572035699107523
Bedford Stuyvesant - Crown Heights,2021,1,1699,-11.325678496868475
Bedford Stuyvesant - Crown Heights,2021,2,1891,11.300765155974101
Bedford Stuyvesant - Crown Heights,2021,3,2066,9.254362771020624
Bedford Stuyvesant - Crown Heights,2022,0,1926,-6.7763794772507255
Bedford Stuyvesant - Crown Heights,2022,1,1886,-2.0768431983385254
Bedford Stuyvesant - Crown Heights,2022,2,2146,13.785790031813361
Bedford Stuyvesant - Crown Heights,2022,3,2383,11.043802423112767
Bedford Stuyvesant - Crown Heights,2023,0,2782,16.74360050356693
Bedford Stuyvesant - Crown Heights,2023,1,2809,0.9705248023005032
Bensonhurst - Bay Ridge,2006,0,803,
Bensonhurst - Bay Ridge,2006,1,687,-14.44582814445828
Bensonhurst - Bay Ridge,2006,2,837,21.83406113537118
Bensonhurst - Bay Ridge,2006,3,814,-2.7479091995221028
Bensonhurst - Bay Ridge,2007,0,898,10.319410319410318
Bensonhurst - Bay Ridge,2007,1,834,-7.126948775055679
Bensonhurst - Bay Ridge,2007,2,914,9.59232613908873
Bensonhurst - Bay Ridge,2007,3,878,-3.938730853391685
Bensonhurst - Bay Ridge,2008,0,868,-1.1389521640091116
Bensonhurst - Bay Ridge,2008,1,867,-0.1152073732718894
Bensonhurst - Bay Ridge,2008,2,944,8.881199538638986
Bensonhurst - Bay Ridge,2008,3,839,-11.122881355932202
Bensonhurst - Bay Ridge,2009,0,988,17.759237187127532
Bensonhurst - Bay Ridge,2009,1,1012,2.42914979757085
Bensonhurst - Bay Ridge,2009,2,860,-15.019762845849801
Bensonhurst - Bay Ridge,2009,3,842,-2.0930232558139537
Bensonhurst - Bay Ridge,2010,0,965,14.608076009501186
Bensonhurst - Bay Ridge,2010,1,926,-4.041450777202073
Bensonhurst - Bay Ridge,2010,2,962,3.8876889848812093
Bensonhurst - Bay Ridge,2010,3,956,-0.6237006237006237
Bensonhurst - Bay Ridge,2011,0,884,-7.531380753138076
Bensonhurst - Bay Ridge,2011,1,947,7.126696832579185
Bensonhurst - Bay Ridge,2011,2,759,-19.852164730728617
Bensonhurst - Bay Ridge,2011,3,750,-1.185770750988142
Bensonhurst - Bay Ridge,2012,0,913,21.73333333333333
Bensonhurst - Bay Ridge,2012,1,842,-7.776560788608982
Bensonhurst - Bay Ridge,2012,2,748,-11.163895486935866
Bensonhurst - Bay Ridge,2012,3,693,-7.352941176470589
Bensonhurst - Bay Ridge,2013,0,779,12.40981240981241
Bensonhurst - Bay Ridge,2013,1,881,13.093709884467266
Bensonhurst - Bay Ridge,2013,2,827,-6.129398410896708
Bensonhurst - Bay Ridge,2013,3,801,-3.143893591293833
Bensonhurst - Bay Ridge,2014,0,993,23.970037453183522
Bensonhurst - Bay Ridge,2014,1,913,-8.056394763343404
Bensonhurst - Bay Ridge,2014,2,927,1.5334063526834611
Bensonhurst - Bay Ridge,2014,3,844,-8.95361380798274
Bensonhurst - Bay Ridge,2015,0,788,-6.6350710900473935
Bensonhurst - Bay Ridge,2015,1,794,0.7614213197969544
Bensonhurst - Bay Ridge,2015,2,823,3.6523929471032743
Bensonhurst - Bay Ridge,2015,3,838,1.8226002430133657
Bensonhurst - Bay Ridge,2016,0,905,7.995226730310262
Bensonhurst - Bay Ridge,2016,1,909,0.44198895027624313
Bensonhurst - Bay Ridge,2016,2,916,0.77007700770077
Bensonhurst - Bay Ridge,2016,3,857,-6.441048034934497
Bensonhurst - Bay Ridge,2017,0,889,3.7339556592765457
Bensonhurst - Bay Ridge,2017,1,867,-2.4746906636670416
Bensonhurst - Bay Ridge,2017,2,871,0.461361014994233
Bensonhurst - Bay Ridge,2017,3,707,-18.828932261768085
Bensonhurst - Bay Ridge,2018,0,662,-6.364922206506366
Bensonhurst - Bay Ridge,2018,1,626,-5.438066465256798
Bensonhurst - Bay Ridge,2018,2,684,9.26517571884984
Bensonhurst - Bay Ridge,2018,3,622,-9.064327485380117
Bensonhurst - Bay Ridge,2019,0,698,12.218649517684888
Bensonhurst - Bay Ridge,2019,1,689,-1.2893982808022924
Bensonhurst - Bay Ridge,2019,2,614,-10.88534107402032
Bensonhurst - Bay Ridge,2019,3,522,-14.983713355048861
Bensonhurst - Bay Ridge,2020,0,512,-1.9157088122605364
Bensonhurst - Bay Ridge,2020,1,353,-31.0546875
Bensonhurst - Bay Ridge,2020,2,368,4.2492917847025495
Bensonhurst - Bay Ridge,2020,3,484,31.521739130434785
Bensonhurst - Bay Ridge,2021,0,454,-6.198347107438017
Bensonhurst - Bay Ridge,2021,1,396,-12.77533039647577
Bensonhurst - Bay Ridge,2021,2,497,25.5050505050505
Bensonhurst - Bay Ridge,2021,3,470,-5.432595573440644
Bensonhurst - Bay Ridge,2022,0,747,58.93617021276596
Bensonhurst - Bay Ridge,2022,1,650,-12.985274431057563
Bensonhurst - Bay Ridge,2022,2,502,-22.76923076923077
Bensonhurst - Bay Ridge,2022,3,388,-22.709163346613543
Bensonhurst - Bay Ridge,2023,0,689,77.57731958762886
Bensonhurst - Bay Ridge,2023,1,702,1.8867924528301887
Borough Park,2006,0,1020,
Borough Park,2006,1,1118,9.607843137254903
Borough Park,2006,2,1130,1.073345259391771
Borough Park,2006,3,1035,-8.4070796460177
Borough Park,2007,0,1235,19.32367149758454
Borough Park,2007,1,1238,0.24291497975708504
Borough Park,2007,2,1134,-8.40064620355412
Borough Park,2007,3,999,-11.904761904761903
Borough Park,2008,0,1080,8.108108108108109
Borough Park,2008,1,1085,0.4629629629629629
Borough Park,2008,2,1092,0.6451612903225806
Borough Park,2008,3,965,-11.63003663003663
Borough Park,2009,0,1079,11.813471502590673
Borough Park,2009,1,1018,-5.653382761816497
Borough Park,2009,2,936,-8.055009823182711
Borough Park,2009,3,997,6.517094017094018
Borough Park,2010,0,1086,8.926780341023068
Borough Park,2010,1,1085,-0.09208103130755065
Borough Park,2010,2,987,-9.032258064516128
Borough Park,2010,3,1016,2.9381965552178317
Borough Park,2011,0,1050,3.346456692913386
Borough Park,2011,1,1020,-2.857142857142857
Borough Park,2011,2,911,-10.686274509803921
Borough Park,2011,3,905,-0.6586169045005488
Borough Park,2012,0,1006,11.160220994475138
Borough Park,2012,1,1058,5.168986083499006
Borough Park,2012,2,1047,-1.0396975425330812
Borough Park,2012,3,814,-22.25405921680993
Borough Park,2013,0,1062,30.46683046683047
Borough Park,2013,1,1001,-5.743879472693032
Borough Park,2013,2,953,-4.795204795204795
Borough Park,2013,3,878,-7.869884575026233
Borough Park,2014,0,987,12.414578587699317
Borough Park,2014,1,1066,8.00405268490375
Borough Park,2014,2,1102,3.377110694183865
Borough Park,2014,3,933,-15.335753176043557
Borough Park,2015,0,1048,12.32583065380493
Borough Park,2015,1,1036,-1.1450381679389312
Borough Park,2015,2,1092,5.405405405405405
Borough Park,2015,3,1027,-5.952380952380952
Borough Park,2016,0,985,-4.089581304771178
Borough Park,2016,1,958,-2.7411167512690358
Borough Park,2016,2,932,-2.7139874739039667
Borough Park,2016,3,898,-3.648068669527897
Borough Park,2017,0,959,6.7928730512249444
Borough Park,2017,1,945,-1.4598540145985401
Borough Park,2017,2,807,-14.603174603174605
Borough Park,2017,3,860,6.567534076827757
Borough Park,2018,0,873,1.5116279069767442
Borough Park,2018,1,680,-22.107674684994272
Borough Park,2018,2,704,3.5294117647058822
Borough Park,2018,3,774,9.943181818181818
Borough Park,2019,0,781,0.9043927648578811
Borough Park,2019,1,751,-3.841229193341869
Borough Park,2019,2,703,-6.391478029294275
Borough Park,2019,3,643,-8.534850640113797
Borough Park,2020,0,594,-7.620528771384137
Borough Park,2020,1,410,-30.976430976430976
Borough Park,2020,2,388,-5.365853658536586
Borough Park,2020,3,240,-38.144329896907216
Borough Park,2021,0,605,152.08333333333331
Borough Park,2021,1,560,-7.43801652892562
Borough Park,2021,2,679,21.25
Borough Park,2021,3,547,-19.44035346097202
Borough Park,2022,0,563,2.9250457038391224
Borough Park,2022,1,770,36.767317939609235
Borough Park,2022,2,806,4.675324675324675
Borough Park,2022,3,898,11.41439205955335
Borough Park,2023,0,763,-15.033407572383073
Borough Park,2023,1,756,-0.9174311926605505
Canarsie - Flatlands,2006,0,1155,
Canarsie - Flatlands,2006,1,1192,3.2034632034632033
Canarsie - Flatlands,2006,2,1377,15.52013422818792
Canarsie - Flatlands,2006,3,1196,-13.144517066085692
Canarsie - Flatlands,2007,0,1256,5.016722408026756
Canarsie - Flatlands,2007,1,1383,10.111464968152866
Canarsie - Flatlands,2007,2,1417,2.458423716558207
Canarsie - Flatlands,2007,3,1277,-9.880028228652083
Canarsie - Flatlands,2008,0,1331,4.22866092404072
Canarsie - Flatlands,2008,1,1388,4.2824943651389935
Canarsie - Flatlands,2008,2,1297,-6.556195965417867
Canarsie - Flatlands,2008,3,1136,-12.41326137239784
Canarsie - Flatlands,2009,0,1119,-1.4964788732394365
Canarsie - Flatlands,2009,1,1403,25.37980339588919
Canarsie - Flatlands,2009,2,1418,1.069137562366358
Canarsie - Flatlands,2009,3,1293,-8.815232722143865
Canarsie - Flatlands,2010,0,1387,7.269914926527456
Canarsie - Flatlands,2010,1,1344,-3.1002162941600577
Canarsie - Flatlands,2010,2,1351,0.5208333333333333
Canarsie - Flatlands,2010,3,1204,-10.880829015544041
Canarsie - Flatlands,2011,0,1402,16.44518272425249
Canarsie - Flatlands,2011,1,1429,1.925820256776034
Canarsie - Flatlands,2011,2,1369,-4.198740377886634
Canarsie - Flatlands,2011,3,1477,7.888970051132213
Canarsie - Flatlands,2012,0,1558,5.484089370345294
Canarsie - Flatlands,2012,1,1524,-2.1822849807445444
Canarsie - Flatlands,2012,2,1350,-11.41732283464567
Canarsie - Flatlands,2012,3,1160,-14.074074074074074
Canarsie - Flatlands,2013,0,1429,23.189655172413794
Canarsie - Flatlands,2013,1,1442,0.9097270818754375
Canarsie - Flatlands,2013,2,1370,-4.993065187239944
Canarsie - Flatlands,2013,3,1311,-4.306569343065694
Canarsie - Flatlands,2014,0,1428,8.924485125858125
Canarsie - Flatlands,2014,1,1780,24.649859943977592
Canarsie - Flatlands,2014,2,1624,-8.764044943820224
Canarsie - Flatlands,2014,3,1217,-25.061576354679804
Canarsie - Flatlands,2015,0,1237,1.6433853738701727
Canarsie - Flatlands,2015,1,1284,3.799514955537591
Canarsie - Flatlands,2015,2,1310,2.0249221183800623
Canarsie - Flatlands,2015,3,1269,-3.1297709923664123
Canarsie - Flatlands,2016,0,1331,4.885736800630418
Canarsie - Flatlands,2016,1,1305,-1.9534184823441023
Canarsie - Flatlands,2016,2,1234,-5.440613026819923
Canarsie - Flatlands,2016,3,1187,-3.8087520259319287
Canarsie - Flatlands,2017,0,1122,-5.475989890480202
Canarsie - Flatlands,2017,1,1264,12.655971479500892
Canarsie - Flatlands,2017,2,1108,-12.341772151898734
Canarsie - Flatlands,2017,3,1140,2.888086642599278
Canarsie - Flatlands,2018,0,1053,-7.631578947368421
Canarsie - Flatlands,2018,1,885,-15.954415954415953
Canarsie - Flatlands,2018,2,1003,13.333333333333334
Canarsie - Flatlands,2018,3,883,-11.964107676969093
Canarsie - Flatlands,2019,0,865,-2.0385050962627407
Canarsie - Flatlands,2019,1,869,0.46242774566473993
Canarsie - Flatlands,2019,2,838,-3.567318757192175
Canarsie - Flatlands,2019,3,657,-21.599045346062052
Canarsie - Flatlands,2020,0,586,-10.80669710806697
Canarsie - Flatlands,2020,1,443,-24.40273037542662
Canarsie - Flatlands,2020,2,400,-9.706546275395034
Canarsie - Flatlands,2020,3,233,-41.75
Canarsie - Flatlands,2021,0,768,229.6137339055794
Canarsie - Flatlands,2021,1,578,-24.739583333333336
Canarsie - Flatlands,2021,2,663,14.705882352941178
Canarsie - Flatlands,2021,3,570,-14.027149321266968
Canarsie - Flatlands,2022,0,1052,84.56140350877193
Canarsie - Flatlands,2022,1,986,-6.273764258555133
Canarsie - Flatlands,2022,2,746,-24.34077079107505
Canarsie - Flatlands,2022,3,679,-8.981233243967829
Canarsie - Flatlands,2023,0,938,38.144329896907216
Canarsie - Flatlands,2023,1,959,2.2388059701492535
Central Harlem - Morningside Heights,2006,0,3871,
Central Harlem - Morningside Heights,2006,1,3846,-0.6458279514337381
Central Harlem - Morningside Heights,2006,2,3614,-6.032241289651586
Central Harlem - Morningside Heights,2006,3,3891,7.664637520752629
Central Harlem - Morningside Heights,2007,0,4476,15.034695451040864
Central Harlem - Morningside Heights,2007,1,4060,-9.294012511170688
Central Harlem - Morningside Heights,2007,2,3950,-2.70935960591133
Central Harlem - Morningside Heights,2007,3,3634,-8.0
Central Harlem - Morningside Heights,2008,0,4437,22.0968629609246
Central Harlem - Morningside Heights,2008,1,4458,0.47329276538201487
Central Harlem - Morningside Heights,2008,2,4396,-1.3907581875280395
Central Harlem - Morningside Heights,2008,3,4063,-7.575068243858054
Central Harlem - Morningside Heights,2009,0,4948,21.78193453113463
Central Harlem - Morningside Heights,2009,1,4724,-4.527081649151172
Central Harlem - Morningside Heights,2009,2,4444,-5.927180355630822
Central Harlem - Morningside Heights,2009,3,4314,-2.9252925292529253
Central Harlem - Morningside Heights,2010,0,4411,2.24849327770051
Central Harlem - Morningside Heights,2010,1,4590,4.058036726365903
Central Harlem - Morningside Heights,2010,2,4236,-7.712418300653595
Central Harlem - Morningside Heights,2010,3,3874,-8.545797922568461
Central Harlem - Morningside Heights,2011,0,4205,8.544140423335055
Central Harlem - Morningside Heights,2011,1,4495,6.896551724137931
Central Harlem - Morningside Heights,2011,2,4140,-7.897664071190211
Central Harlem - Morningside Heights,2011,3,4074,-1.5942028985507246
Central Harlem - Morningside Heights,2012,0,4670,14.629356897398136
Central Harlem - Morningside Heights,2012,1,4290,-8.137044967880087
Central Harlem - Morningside Heights,2012,2,4194,-2.237762237762238
Central Harlem - Morningside Heights,2012,3,3201,-23.67668097281831
Central Harlem - Morningside Heights,2013,0,3999,24.92970946579194
Central Harlem - Morningside Heights,2013,1,4402,10.077519379844961
Central Harlem - Morningside Heights,2013,2,4064,-7.678328032712403
Central Harlem - Morningside Heights,2013,3,3750,-7.7263779527559056
Central Harlem - Morningside Heights,2014,0,4018,7.1466666666666665
Central Harlem - Morningside Heights,2014,1,4268,6.222000995520159
Central Harlem - Morningside Heights,2014,2,3824,-10.402999062792876
Central Harlem - Morningside Heights,2014,3,2940,-23.117154811715483
Central Harlem - Morningside Heights,2015,0,3150,7.142857142857142
Central Harlem - Morningside Heights,2015,1,3455,9.682539682539684
Central Harlem - Morningside Heights,2015,2,3342,-3.2706222865412444
Central Harlem - Morningside Heights,2015,3,2888,-13.584679832435667
Central Harlem - Morningside Heights,2016,0,3345,15.824099722991688
Central Harlem - Morningside Heights,2016,1,3363,0.5381165919282511
Central Harlem - Morningside Heights,2016,2,3005,-10.645257210823669
Central Harlem - Morningside Heights,2016,3,2777,-7.587354409317804
Central Harlem - Morningside Heights,2017,0,2627,-5.401512423478573
Central Harlem - Morningside Heights,2017,1,2425,-7.689379520365436
Central Harlem - Morningside Heights,2017,2,2460,1.443298969072165
Central Harlem - Morningside Heights,2017,3,2179,-11.422764227642276
Central Harlem - Morningside Heights,2018,0,2157,-1.0096374483708122
Central Harlem - Morningside Heights,2018,1,2245,4.079740380157626
Central Harlem - Morningside Heights,2018,2,1850,-17.59465478841871
Central Harlem - Morningside Heights,2018,3,1838,-0.6486486486486486
Central Harlem - Morningside Heights,2019,0,1722,-6.311207834602829
Central Harlem - Morningside Heights,2019,1,1861,8.072009291521487
Central Harlem - Morningside Heights,2019,2,1769,-4.943578721117679
Central Harlem - Morningside Heights,2019,3,1557,-11.98417184850198
Central Harlem - Morningside Heights,2020,0,1404,-9.826589595375722
Central Harlem - Morningside Heights,2020,1,999,-28.846153846153843
Central Harlem - Morningside Heights,2020,2,885,-11.411411411411411
Central Harlem - Morningside Heights,2020,3,831,-6.101694915254238
Central Harlem - Morningside Heights,2021,0,1401,68.59205776173285
Central Harlem - Morningside Heights,2021,1,1214,-13.34760885082084
Central Harlem - Morningside Heights,2021,2,1414,16.474464579901152
Central Harlem - Morningside Heights,2021,3,1361,-3.7482319660537478
Central Harlem - Morningside Heights,2022,0,1960,44.011756061719325
Central Harlem - Morningside Heights,2022,1,1761,-10.153061224489795
Central Harlem - Morningside Heights,2022,2,1462,-16.978989210675753
Central Harlem - Morningside Heights,2022,3,1187,-18.80984952120383
Central Harlem - Morningside Heights,2023,0,1492,25.695029486099408
Central Harlem - Morningside Heights,2023,1,1483,-0.6032171581769437
Central Park,2006,0,0,
Central Park,2006,1,0,0.0
Central Park,2006,2,0,0.0
Central Park,2006,3,0,0.0
Central Park,2007,0,0,0.0
Central Park,2007,1,0,0.0
Central Park,2007,2,0,0.0
Central Park,2007,3,0,0.0
Central Park,2008,0,0,0.0
Central Park,2008,1,0,0.0
Central Park,2008,2,0,0.0
Central Park,2008,3,0,0.0
Central Park,2009,0,0,0.0
Central Park,2009,1,0,0.0
Central Park,2009,2,0,0.0
Central Park,2009,3,0,0.0
Central Park,2010,0,0,0.0
Central Park,2010,1,0,0.0
Central Park,2010,2,0,0.0
Central Park,2010,3,0,0.0
Central Park,2011,0,0,0.0
Central Park,2011,1,0,0.0
Central Park,2011,2,0,0.0
Central Park,2011,3,0,0.0
Central Park,2012,0,0,0.0
Central Park,2012,1,0,0.0
Central Park,2012,2,0,0.0
Central Park,2012,3,0,0.0
Central Park,2013,0,0,0.0
Central Park,2013,1,0,0.0
Central Park,2013,2,0,0.0
Central Park,2013,3,0,0.0
Central Park,2014,0,0,0.0
Central Park,2014,1,0,0.0
Central Park,2014,2,0,0.0
Central Park,2014,3,0,0.0
Central Park,2015,0,0,0.0
Central Park,2015,1,0,0.0
Central Park,2015,2,0,0.0
Central Park,2015,3,0,0.0
Central Park,2016,0,0,0.0
Central Park,2016,1,0,0.0
Central Park,2016,2,0,0.0
Central Park,2016,3,0,0.0
Central Park,2017,0,0,0.0
Central Park,2017,1,0,0.0
Central Park,2017,2,0,0.0
Central Park,2017,3,0,0.0
Central Park,2018,0,0,0.0
Central Park,2018,1,0,0.0
Central Park,2018,2,0,0.0
Central Park,2018,3,0,0.0
Central Park,2019,0,0,0.0
Central Park,2019,1,0,0.0
Central Park,2019,2,0,0.0
Central Park,2019,3,0,0.0
Central Park,2020,0,0,0.0
Central Park,2020,1,0,0.0
Central Park,2020,2,0,0.0
Central Park,2020,3,0,0.0
Central Park,2021,0,0,0.0
Central Park,2021,1,0,0.0
Central Park,2021,2,0,0.0
Central Park,2021,3,0,0.0
Central Park,2022,0,0,0.0
Central Park,2022,1,0,0.0
Central Park,2022,2,0,0.0
Central Park,2022,3,0,0.0
Central Park,2023,0,0,0.0
Central Park,2023,1,0,0.0
Chelsea - Clinton,2006,0,5286,
Chelsea - Clinton,2006,1,5949,12.54256526674234
Chelsea - Clinton,2006,2,5802,-2.4710035300050426
Chelsea - Clinton,2006,3,5517,-4.912099276111686
Chelsea - Clinton,2007,0,6557,18.850824723581656
Chelsea - Clinton,2007,1,5786,-11.758426109501297
Chelsea - Clinton,2007,2,5725,-1.0542689249913584
Chelsea - Clinton,2007,3,5405,-5.5895196506550215
Chelsea - Clinton,2008,0,5666,4.8288621646623495
Chelsea - Clinton,2008,1,5836,3.0003529827038475
Chelsea - Clinton,2008,2,5734,-1.7477724468814255
Chelsea - Clinton,2008,3,6100,6.382978723404255
Chelsea - Clinton,2009,0,6128,0.45901639344262296
Chelsea - Clinton,2009,1,5928,-3.263707571801567
Chelsea - Clinton,2009,2,5786,-2.395411605937922
Chelsea - Clinton,2009,3,6108,5.565157276183892
Chelsea - Clinton,2010,0,6363,4.174852652259331
